received_at,timestamp,device_id,temperature,humidity,status,integrity_verified
2026-07-09T15:41:07.336288,2026-07-09T15:40:00Z,DHT22-SENSOR-001,24.5,60.2,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:07.526682,2026-07-09T15:40:05Z,DHT22-SENSOR-001,24.6,60.1,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:07.695593,2026-07-09T15:40:10Z,DHT22-SENSOR-001,24.8,60.0,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:07.869823,2026-07-09T15:40:15Z,DHT22-SENSOR-001,25.0,59.8,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.052310,2026-07-09T15:40:20Z,DHT22-SENSOR-001,25.1,59.5,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.230471,2026-07-09T15:40:25Z,DHT22-SENSOR-001,25.3,59.4,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.399528,2026-07-09T15:40:30Z,DHT22-SENSOR-001,25.2,59.6,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.571082,2026-07-09T15:40:35Z,DHT22-SENSOR-001,25.0,59.9,WARNING,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.774287,2026-07-09T15:40:40Z,DHT22-SENSOR-001,24.9,60.1,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:08.972486,2026-07-09T15:40:45Z,DHT22-SENSOR-001,24.7,60.3,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:09.176230,2026-07-09T15:40:50Z,DHT22-SENSOR-001,24.5,60.5,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:09.375702,2026-07-09T15:40:55Z,DHT22-SENSOR-001,24.4,60.8,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:09.581704,2026-07-09T15:41:00Z,DHT22-SENSOR-001,24.3,61.0,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:09.775635,2026-07-09T15:41:05Z,DHT22-SENSOR-001,24.2,61.2,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:09.976043,2026-07-09T15:41:10Z,DHT22-SENSOR-001,24.1,61.5,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:10.191267,2026-07-09T15:41:15Z,DHT22-SENSOR-001,24.0,61.8,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:10.451385,2026-07-09T15:41:20Z,DHT22-SENSOR-001,24.1,62.0,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:10.595338,2026-07-09T15:41:25Z,DHT22-SENSOR-001,24.3,61.9,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:10.785978,2026-07-09T15:41:30Z,DHT22-SENSOR-001,24.5,61.7,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
2026-07-09T15:41:10.982075,2026-07-09T15:41:35Z,DHT22-SENSOR-001,24.7,61.4,OK,FALSE (Không có cơ chế bảo vệ tính toàn vẹn)
